sep=|
Country|Resource|Quantity|Unit|Sector|Urgency|Time to ship from Canada to Country (days)|Date Resource is Required by (yyyy-mm-dd)
American Samoa|Tertiary metal products|10741952000.0|ounce|Minerals and mining|0.02|4|2023-05-02
American Samoa|Crude oil|2089393|liter|Energy|0.1|4|2023-05-12
American Samoa|Miscellaneous metal products|322.8|metric_ton|Minerals and mining|0.04|2|2023-05-10
American Samoa|Metallic minerals|262597.01|ton|Minerals and mining|0.11|8|2023-05-25
American Samoa|Coal|87609.55|metric_ton|Minerals and mining|0.01|13|2023-05-19
American Samoa|Biofuels|6145000.0|milliliter|Energy|0.07|0|2023-05-25
American Samoa|Services|169753|hour|Forestry|0.12000000000000001|0|2023-05-21
American Samoa|Other bioproducts (from forestry biomass)|0.48|ton|Forestry|0.01|4|2023-05-17
American Samoa|Services and custom work|18838|hour|Forestry|0.04|3|2023-05-24
American Samoa|Bioenergy|15711|kilowatt_hour|Energy|0.01|9|2023-05-27
American Samoa|Primary non-metallic minerals products|650669.01|ton|Minerals and mining|0.01|12|2023-05-16
American Samoa|Primary metallic minerals products|100798|metric_ton|Minerals and mining|0.13|2|2023-05-10
Andorra|Miscellaneous metal products|25.18|ton|Minerals and mining|0.2|2|2023-05-08
Andorra|Bioenergy|10430|kilowatt_hour|Energy|0.02|2|2023-05-22
Andorra|Primary manufacturing|3153279600000.0|joule|Minerals and mining|0.04|13|2023-05-17
Andorra|Biofuels|3640000.0|milliliter|Energy|0.12|0|2023-05-02
Andorra|Services|23.44|year|Minerals and mining|0.16|3|2023-05-07
Andorra|Services and custom work|222.98|month|Minerals and mining|0.01|3|2023-05-14
Andorra|Extraction|111573.75|ton|Forestry|0.14|3|2023-05-21
Andorra|Other refined petroleum and coal products|6673|gallon|Energy|0.16|3|2023-05-11
Andorra|Refined petroleum products (fuels and lubricants)|2081928.0|quart|Energy|0.11|6|2023-05-26
Andorra|Coal|66327|ton|Minerals and mining|0.04|0|2023-05-08
Angola|Services|6559.96|week|Energy|0.01|3|2023-05-03
Angola|Primary sawmill and wood products|122.22|kilometer|Forestry|0.02|13|2023-05-27
Angola|Services|8.87|month|Forestry|0.08|1|2023-05-17
Angola|Electricity|519648625.29|british_thermal_unit|Energy|0.12|10|2023-05-28
Angola|Coal|99857|ton|Minerals and mining|0.14|1|2023-05-12
Angola|Extraction|4971302000.0|pound|Minerals and mining|0.07|0|2023-05-11
Angola|Other refined petroleum and coal products|370684.0|quart|Energy|0.15|10|2023-05-25
Angola|Primary manufacturing|2243435040.41|british_thermal_unit|Forestry|0.13|4|2023-05-09
Angola|Primary pulp and paper products|329006|metric_ton|Forestry|0.09|4|2023-05-06
Angola|Refined petroleum products (fuels and lubricants)|690349332.46|cubic_centimeter|Energy|0.05|2|2023-05-22
Angola|Primary forestry bioproducts|4274000.0|kilogram|Forestry|0.08|11|2023-05-26
Angola|Extraction|82941.21|ton|Forestry|0.06|2|2023-05-02
Anguilla|Secondary metal products|173858326.68|kilogram|Minerals and mining|0.73|4|2023-05-05
Anguilla|Primary non-metallic minerals products|14571109297.98|ounce|Minerals and mining|0.27|2|2023-05-11
Antarctica|Primary pulp and paper products|57534000.0|kilogram|Forestry|0.21|2|2023-05-08
Antarctica|Primary forestry bioproducts|6637000000.0|gram|Forestry|0.04|1|2023-05-27
Antarctica|Electricity|11863461600000.0|joule|Energy|0.28|1|2023-05-09
Antarctica|Bioenergy and biofuel (from forestry biomass)|165.9|cubic_foot|Forestry|0.28|3|2023-05-24
Antarctica|Secondary wood products|3851680.0|ounce|Forestry|0.03|1|2023-05-02
Antarctica|Metallic minerals|1141691.38|ton|Minerals and mining|0.16|2|2023-05-03
Antigua and Barbuda|Secondary metal products|113810|ton|Minerals and mining|0.09|7|2023-05-18
Antigua and Barbuda|Primary forestry bioproducts|11936.93|ton|Forestry|0.15|11|2023-05-25
Antigua and Barbuda|Crude oil|663529.4|gallon|Energy|0.01|0|2023-05-26
Antigua and Barbuda|Primary metallic minerals products|470215.14|ton|Minerals and mining|0.08|4|2023-05-10
Antigua and Barbuda|Services and custom work|120.24|week|Forestry|0.01|4|2023-05-12
Antigua and Barbuda|Extraction|2390402759988.32|gram|Minerals and mining|0.12|10|2023-05-26
Antigua and Barbuda|Secondary wood products|12.84|ton|Forestry|0.13|2|2023-05-29
Antigua and Barbuda|Services and custom work|17.54|year|Minerals and mining|0.15|2|2023-05-04
Antigua and Barbuda|Primary manufacturing|3845738993.95|british_thermal_unit|Forestry|0.1|1|2023-05-19
Antigua and Barbuda|Refined petroleum products (fuels and lubricants)|1112036.0|quart|Energy|0.16|3|2023-05-03
Argentina|Primary metallic minerals products|195434|metric_ton|Minerals and mining|0.16|4|2023-05-13
Argentina|Refined petroleum products (fuels and lubricants)|2477177.26|liter|Energy|0.2|2|2023-05-13
Argentina|Tertiary metal products|271453261011.24|gram|Minerals and mining|0.07|10|2023-05-29
Argentina|Coal|87161402634.46|gram|Minerals and mining|0.14|3|2023-05-26
Argentina|Services|35.9|year|Forestry|0.16|3|2023-05-12
Argentina|Crude oil|103403000.0|cubic_centimeter|Energy|0.02|1|2023-05-06
Argentina|Extraction|731745|ton|Minerals and mining|0.08|5|2023-05-23
Argentina|Primary manufacturing|5827309200000.0|joule|Energy|0.01|11|2023-05-25
Argentina|Bioenergy and biofuel (from forestry biomass)|24173639.65|cubic_centimeter|Forestry|0.16|4|2023-05-05
Armenia|Services and custom work|16.05|month|Minerals and mining|0.07|3|2023-05-05
Armenia|Other refined petroleum and coal products|220170.91|liter|Energy|0.08|5|2023-05-21
Armenia|Bioenergy|1886|kilowatt_hour|Energy|0.03|7|2023-05-28
Armenia|Metallic minerals|871834000000.0|gram|Minerals and mining|0.09|10|2023-05-22
Armenia|Bioenergy and biofuel (from forestry biomass)|38132.0|quart|Forestry|0.32|4|2023-05-14
Armenia|Primary metallic minerals products|555123000000.0|gram|Minerals and mining|0.41|12|2023-05-16
Aruba|Services|31.29|year|Minerals and mining|0.09|9|2023-05-21
Aruba|Primary manufacturing|805089600000.0|joule|Forestry|0.25|0|2023-05-06
Aruba|Bioenergy and biofuel (from forestry biomass)|1230258.83|cubic_centimeter|Forestry|0.06|2|2023-05-29
Aruba|Secondary metal products|23746000.0|pound|Minerals and mining|0.09|12|2023-05-18
Aruba|Services|11262.08|day|Energy|0.19999999999999998|6|2023-05-21
Aruba|Services and custom work|8.23|year|Minerals and mining|0.25|11|2023-05-29
Aruba|Coal|257316|ton|Minerals and mining|0.06|5|2023-05-25
Australia|Bioenergy and biofuel (from forestry biomass)|8316549.69|cubic_centimeter|Forestry|0.16|4|2023-05-24
Australia|Bioenergy|36320400000.0|joule|Energy|0.84|7|2023-05-27
Austria|Extraction|8267003836.76|british_thermal_unit|Energy|0.1400000000000001|5|2023-05-29
Austria|Primary pulp and paper products|355908000.0|kilogram|Forestry|0.19|3|2023-05-03
Austria|Primary metallic minerals products|404141000000.0|gram|Minerals and mining|0.1|1|2023-05-26
Austria|Primary forestry bioproducts|11648000.0|kilogram|Forestry|0.16|4|2023-05-12
Austria|Bioenergy and biofuel (from forestry biomass)|60168.0|pint|Forestry|0.09|2|2023-05-22
Austria|Primary manufacturing|5375559600000.0|joule|Energy|0.2|5|2023-05-19
Austria|Extraction|825531.76|metric_ton|Minerals and mining|0.12|0|2023-05-03
Azerbaijan|Services|29329800.0|minute|Minerals and mining|0.11|2|2023-05-13
Azerbaijan|Secondary metal products|89647|ton|Minerals and mining|0.01|2|2023-05-23
Azerbaijan|Services and custom work|166.19|month|Minerals and mining|0.06|7|2023-05-18
Azerbaijan|Extraction|178662777.07|kilogram|Minerals and mining|0.07|1|2023-05-18
Azerbaijan|Metallic minerals|412497000.0|kilogram|Minerals and mining|0.08|3|2023-05-10
Azerbaijan|Primary non-metallic minerals products|1285191371.27|pound|Minerals and mining|0.11|1|2023-05-05
Azerbaijan|Crude oil|3262834|liter|Energy|0.07|1|2023-05-15
Azerbaijan|Services|935.74|month|Energy|0.03|3|2023-05-22
Azerbaijan|Tertiary metal products|135531|ton|Minerals and mining|0.1|10|2023-05-18
Azerbaijan|Miscellaneous metal products|306.94|ton|Minerals and mining|0.01|12|2023-05-21
Azerbaijan|Primary manufacturing|1256138|kilowatt_hour|Minerals and mining|0.09|1|2023-05-08
Azerbaijan|Extraction|192068927.44|pound|Forestry|0.12|9|2023-05-21
Azerbaijan|Secondary wood products|83108|pound|Forestry|0.03|5|2023-05-18
Azerbaijan|Biofuels|64489.68|pint|Energy|0.019999999999999997|0|2023-05-06
Azerbaijan|Electricity|3429676800000.0|joule|Energy|0.02|1|2023-05-23
Azerbaijan|Refined petroleum products (fuels and lubricants)|2118724.0|quart|Energy|0.01|10|2023-05-16
Azerbaijan|Other bioproducts (from forestry biomass)|4146.9|pound|Forestry|0.06|11|2023-05-20
Bahamas (the)|Extraction|213738163.19|pound|Forestry|0.77|11|2023-05-16
Bahamas (the)|Natural gas|340151|cubic_foot|Energy|0.23|1|2023-05-03
Bahrain|Services|90184680.0|minute|Energy|1.0|7|2023-05-23
Bangladesh|Coal|59248235.37|kilogram|Minerals and mining|0.08|4|2023-05-14
Bangladesh|Secondary wood products|122.32|ton|Forestry|0.12|4|2023-05-22
Bangladesh|Bioenergy and biofuel (from forestry biomass)|33065.57|liter|Forestry|0.04|2|2023-05-10
Bangladesh|Primary forestry bioproducts|2673|metric_ton|Forestry|0.01|13|2023-05-28
Bangladesh|Other refined petroleum and coal products|162.56|cubic_foot|Energy|0.09|2|2023-05-15
Bangladesh|Extraction|2125188|ton|Minerals and mining|0.11|0|2023-05-18
Bangladesh|Biofuels|7253000.0|milliliter|Energy|0.07|5|2023-05-27
Bangladesh|Bioenergy|40075597.88|british_thermal_unit|Energy|0.1|0|2023-05-12
Bangladesh|Refined petroleum products (fuels and lubricants)|112430515.4|milliliter|Energy|0.1|1|2023-05-02
Bangladesh|Petrochemicals|483096.0|quart|Energy|0.01|3|2023-05-10
Bangladesh|Services and custom work|7111800.0|minute|Minerals and mining|0.1|3|2023-05-10
Bangladesh|Electricity|3662489953.14|british_thermal_unit|Energy|0.01|3|2023-05-08
Bangladesh|Extraction|26324000.0|kilogram|Forestry|0.1|9|2023-05-27
Bangladesh|Natural gas|9677310639.66|milliliter|Energy|0.06|0|2023-05-03
Barbados|Extraction|1640726|ton|Minerals and mining|0.19|0|2023-05-14
Barbados|Services and custom work|17.39|week|Forestry|0.15|8|2023-05-25
Barbados|Primary sawmill and wood products|290.94|kilometer|Forestry|0.31|2|2023-05-10
Barbados|Primary manufacturing|4227963634.16|british_thermal_unit|Minerals and mining|0.16|3|2023-05-14
Barbados|Services|103.52|year|Energy|0.19|12|2023-05-28
Belarus|Primary sawmill and wood products|109473.33|yard|Forestry|0.01|4|2023-05-29
Belarus|Biofuels|6237.89|gallon|Energy|0.14|9|2023-05-17
Belarus|Petrochemicals|99526046.62|cubic_centimeter|Energy|0.02|11|2023-05-23
Belarus|Services|26.75|year|Forestry|0.1|4|2023-05-09
Belarus|Extraction|2167417|ton|Minerals and mining|0.15|1|2023-05-20
Belarus|Bioenergy|12258|kilowatt_hour|Energy|0.12|8|2023-05-26
Belarus|Services and custom work|443.04|day|Forestry|0.07|1|2023-05-07
Belarus|Primary pulp and paper products|438472.98|ton|Forestry|0.01|2|2023-05-20
Belarus|Services and custom work|14.95|year|Minerals and mining|0.16|3|2023-05-29
Belarus|Extraction|3438.11|ton|Forestry|0.08|12|2023-05-29
Belarus|Primary non-metallic minerals products|308729.84|ton|Minerals and mining|0.14|2|2023-05-13
Belgium|Secondary paper products|48642|metric_ton|Forestry|0.2|3|2023-05-06
Belgium|Secondary wood products|92.81|ton|Forestry|0.05|13|2023-05-26
Belgium|Secondary metal products|214174523.71|kilogram|Minerals and mining|0.25|0|2023-05-07
Belgium|Primary manufacturing|656672400000.0|joule|Minerals and mining|0.06|0|2023-05-17
Belgium|Extraction|1327090|kilowatt_hour|Energy|0.17|11|2023-05-21
Belgium|Refined petroleum products (fuels and lubricants)|736614.64|liter|Energy|0.01|4|2023-05-10
Belgium|Other bioproducts (from forestry biomass)|0.49|ton|Forestry|0.24|9|2023-05-18
Belgium|Electricity|833299200000.0|joule|Energy|0.02|2|2023-05-03
Belize|Metallic minerals|1013713000.0|kilogram|Minerals and mining|0.09|4|2023-05-14
Belize|Bioenergy and biofuel (from forestry biomass)|4234|gallon|Forestry|0.04|3|2023-05-02
Belize|Primary manufacturing|3939310800000.0|joule|Forestry|0.18|4|2023-05-16
Belize|Primary forestry bioproducts|1475000.0|kilogram|Forestry|0.14|13|2023-05-18
Belize|Tertiary metal products|395576091507.52|gram|Minerals and mining|0.11|4|2023-05-25
Belize|Primary pulp and paper products|13431866148.89|ounce|Forestry|0.16|9|2023-05-26
Belize|Secondary wood products|859008.0|ounce|Forestry|0.14|2|2023-05-11
Belize|Services|18567.79|day|Energy|0.13|6|2023-05-28
Belize|Non-metallic minerals|584306.57|ton|Minerals and mining|0.01|0|2023-05-09
Benin|Bioenergy|23871600000.0|joule|Energy|0.01|0|2023-05-06
Benin|Secondary wood products|21.46|ton|Forestry|0.06|0|2023-05-15
Benin|Bioenergy and biofuel (from forestry biomass)|34159555.94|cubic_centimeter|Forestry|0.09|8|2023-05-17
Benin|Primary manufacturing|625903|kilowatt_hour|Forestry|0.08|11|2023-05-26
Benin|Secondary metal products|219545057.37|kilogram|Minerals and mining|0.04|2|2023-05-07
Benin|Electricity|10720684800000.0|joule|Energy|0.09|12|2023-05-24
Benin|Extraction|648314000.0|pound|Minerals and mining|0.08|9|2023-05-18
Benin|Refined petroleum products (fuels and lubricants)|2231072.0|quart|Energy|0.01|4|2023-05-08
Benin|Extraction|13605879600000.0|joule|Energy|0.01|0|2023-05-08
Benin|Services and custom work|309.4|week|Forestry|0.07|4|2023-05-10
Benin|Services|20108040.0|minute|Minerals and mining|0.08|10|2023-05-21
Benin|Tertiary metal products|1025793|ton|Minerals and mining|0.08|2|2023-05-26
Benin|Crude oil|782145.55|gallon|Energy|0.03|1|2023-05-06
Benin|Primary sawmill and wood products|172748.0|yard|Forestry|0.08|3|2023-05-20
Benin|Primary forestry bioproducts|4533.81|ton|Forestry|0.03|0|2023-05-13
Benin|Other bioproducts (from forestry biomass)|0.59|metric_ton|Forestry|0.04|10|2023-05-17
Benin|Miscellaneous metal products|386915.68|pound|Minerals and mining|0.07|0|2023-05-15
Benin|Services|434.85|month|Forestry|0.05|2|2023-05-06
Bermuda|Primary manufacturing|7940769020.79|british_thermal_unit|Energy|0.03|1|2023-05-11
Bermuda|Services and custom work|1643.71|day|Forestry|0.03|8|2023-05-19
Bermuda|Tertiary metal products|363693991004.96|gram|Minerals and mining|0.03|0|2023-05-21
Bermuda|Primary manufacturing|1341712|kilowatt_hour|Forestry|0.1|4|2023-05-19
Bermuda|Extraction|5219876163.26|ounce|Forestry|0.1|7|2023-05-18
Bermuda|Metallic minerals|794615000.0|kilogram|Minerals and mining|0.03|2|2023-05-15
Bermuda|Primary non-metallic minerals products|557270000000.0|gram|Minerals and mining|0.02|0|2023-05-09
Bermuda|Secondary paper products|211949.11|ton|Forestry|0.02|2|2023-05-09
Bermuda|Refined petroleum products (fuels and lubricants)|1014619062.11|cubic_centimeter|Energy|0.07|0|2023-05-18
Bermuda|Miscellaneous metal products|155.06|metric_ton|Minerals and mining|0.06|5|2023-05-25
Bermuda|Primary pulp and paper products|279020|metric_ton|Forestry|0.06|0|2023-05-11
Bermuda|Secondary wood products|127.04|ton|Forestry|0.12000000000000001|2|2023-05-14
Bermuda|Other bioproducts (from forestry biomass)|1613.78|pound|Forestry|0.09|0|2023-05-26
Bermuda|Crude oil|572325.58|pint|Energy|0.01|3|2023-05-17
Bermuda|Services|56929.71|day|Energy|0.1|2|2023-05-26
Bermuda|Primary manufacturing|2904948000000.0|joule|Minerals and mining|0.13|2|2023-05-07
Bhutan|Primary manufacturing|3532760346.37|british_thermal_unit|Forestry|0.13|7|2023-05-17
Bhutan|Services|2451.59|month|Energy|0.11|5|2023-05-25
Bhutan|Refined petroleum products (fuels and lubricants)|1196697368.92|cubic_centimeter|Energy|0.16|4|2023-05-02
Bhutan|Bioenergy|51206002.34|british_thermal_unit|Energy|0.19|1|2023-05-07
Bhutan|Tertiary metal products|137791382.97|kilogram|Minerals and mining|0.17|1|2023-05-15
Bhutan|Secondary paper products|10950000.0|kilogram|Forestry|0.24|2|2023-05-02
Bolivia (Plurinational State of)|Secondary paper products|1334.9|ton|Forestry|0.08999999999999979|11|2023-05-28
Bolivia (Plurinational State of)|Primary forestry bioproducts|13053570.54|pound|Forestry|0.14|2|2023-05-02
Bolivia (Plurinational State of)|Secondary wood products|81.5|ton|Forestry|0.09|1|2023-05-12
Bolivia (Plurinational State of)|Non-metallic minerals|224151000.0|kilogram|Minerals and mining|0.08|5|2023-05-26
Bolivia (Plurinational State of)|Primary pulp and paper products|485252000000.0|gram|Forestry|0.1|4|2023-05-16
Bolivia (Plurinational State of)|Primary metallic minerals products|810293.61|ton|Minerals and mining|0.01|0|2023-05-14
Bolivia (Plurinational State of)|Secondary metal products|227296|ton|Minerals and mining|0.05|2|2023-05-15
Bolivia (Plurinational State of)|Other refined petroleum and coal products|3660.31|cubic_foot|Energy|0.05|1|2023-05-12
Bolivia (Plurinational State of)|Petrochemicals|101872.0|pint|Energy|0.13|8|2023-05-16
Bolivia (Plurinational State of)|Extraction|1749150154.67|kilogram|Minerals and mining|0.01|0|2023-05-13
Bolivia (Plurinational State of)|Biofuels|39319000.0|cubic_centimeter|Energy|0.01|4|2023-05-03
Bolivia (Plurinational State of)|Primary manufacturing|1306550|kilowatt_hour|Minerals and mining|0.01|1|2023-05-08
Bolivia (Plurinational State of)|Extraction|3048153|kilowatt_hour|Energy|0.11|13|2023-05-17
Bolivia (Plurinational State of)|Bioenergy|3787|kilowatt_hour|Energy|0.01|4|2023-05-09
Bolivia (Plurinational State of)|Natural gas|28101439.17|pint|Energy|0.1|2|2023-05-03
Bolivia (Plurinational State of)|Services|3093.85|week|Minerals and mining|0.01|0|2023-05-02
Bonaire, Sint Eustatius and Saba|Primary pulp and paper products|142598000000.0|gram|Forestry|0.08000000000000011|1|2023-05-02
Bonaire, Sint Eustatius and Saba|Extraction|106271|metric_ton|Forestry|0.06|9|2023-05-25
Bonaire, Sint Eustatius and Saba|Secondary metal products|12034.71|metric_ton|Minerals and mining|0.1|4|2023-05-24
Bonaire, Sint Eustatius and Saba|Primary manufacturing|4335011|kilowatt_hour|Energy|0.12|0|2023-05-26
Bonaire, Sint Eustatius and Saba|Primary manufacturing|4750065588.94|british_thermal_unit|Forestry|0.08|0|2023-05-13
Bonaire, Sint Eustatius and Saba|Services|654.07|week|Minerals and mining|0.12000000000000001|13|2023-05-25
Bonaire, Sint Eustatius and Saba|Extraction|383328000000.0|joule|Energy|0.07|1|2023-05-10
Bonaire, Sint Eustatius and Saba|Petrochemicals|801602584.79|milliliter|Energy|0.08|8|2023-05-29
Bonaire, Sint Eustatius and Saba|Services and custom work|2908.5|day|Minerals and mining|0.01|2|2023-05-18
Bonaire, Sint Eustatius and Saba|Primary metallic minerals products|789646|metric_ton|Minerals and mining|0.05|1|2023-05-04
Bonaire, Sint Eustatius and Saba|Primary manufacturing|4578350400000.0|joule|Minerals and mining|0.07|0|2023-05-05
Bonaire, Sint Eustatius and Saba|Electricity|5150772000000.0|joule|Energy|0.06|7|2023-05-25
Bonaire, Sint Eustatius and Saba|Bioenergy|16725600000.0|joule|Energy|0.02|3|2023-05-21
Bonaire, Sint Eustatius and Saba|Services|5270.88|day|Forestry|0.08|9|2023-05-19
Bosnia and Herzegovina|Primary metallic minerals products|741696|metric_ton|Minerals and mining|0.13|4|2023-05-07
Bosnia and Herzegovina|Tertiary metal products|1730872000.0|pound|Minerals and mining|0.22|6|2023-05-23
Bosnia and Herzegovina|Extraction|8140572000000.0|joule|Energy|0.18|1|2023-05-15
Bosnia and Herzegovina|Primary manufacturing|4655951911.56|british_thermal_unit|Forestry|0.2|2|2023-05-08
Bosnia and Herzegovina|Primary sawmill and wood products|163006.13|meter|Forestry|0.27|3|2023-05-21
Botswana|Non-metallic minerals|7471000000.0|gram|Minerals and mining|0.07|4|2023-05-05
Botswana|Services|1943.92|week|Forestry|0.48|11|2023-05-24
Botswana|Electricity|7789348432.69|british_thermal_unit|Energy|0.45|9|2023-05-21
Bouvet Island|Bioenergy and biofuel (from forestry biomass)|36987258.54|cubic_centimeter|Forestry|0.05|3|2023-05-11
Bouvet Island|Metallic minerals|3206200315.94|pound|Minerals and mining|0.06|2|2023-05-04
Bouvet Island|Extraction|95843.76|ton|Forestry|0.08|4|2023-05-03
Bouvet Island|Primary forestry bioproducts|10277950.66|pound|Forestry|0.04|4|2023-05-13
Bouvet Island|Other bioproducts (from forestry biomass)|1.98|ton|Forestry|0.07|6|2023-05-29
Bouvet Island|Other refined petroleum and coal products|256420008.84|milliliter|Energy|0.03|2|2023-05-04
Bouvet Island|Tertiary metal products|1106397972.98|kilogram|Minerals and mining|0.09|2|2023-05-02
Bouvet Island|Services and custom work|1692060.0|minute|Forestry|0.02|4|2023-05-02
Bouvet Island|Primary sawmill and wood products|241439.33|yard|Forestry|0.1|3|2023-05-07
Bouvet Island|Non-metallic minerals|69572.38|ton|Minerals and mining|0.09|0|2023-05-07
Bouvet Island|Primary manufacturing|11121944400000.0|joule|Energy|0.08|0|2023-05-17
Bouvet Island|Natural gas|447445|cubic_foot|Energy|0.12|4|2023-05-24
Bouvet Island|Primary manufacturing|4907842996.01|british_thermal_unit|Forestry|0.08|2|2023-05-15
Bouvet Island|Extraction|4654505|kilowatt_hour|Energy|0.06|3|2023-05-23
Bouvet Island|Secondary wood products|47.14|ton|Forestry|0.03|4|2023-05-14
Brazil|Other refined petroleum and coal products|87092.0|quart|Energy|0.22|0|2023-05-04
Brazil|Electricity|1393009|kilowatt_hour|Energy|0.1|10|2023-05-19
Brazil|Extraction|8872184604.42|british_thermal_unit|Energy|0.13|4|2023-05-24
Brazil|Secondary wood products|82.36|metric_ton|Forestry|0.06|9|2023-05-25
Brazil|Services|2.97|year|Forestry|0.09|3|2023-05-04
Brazil|Extraction|90527000.0|kilogram|Forestry|0.4|4|2023-05-08
British Indian Ocean Territory (the)|Crude oil|1900104000.0|milliliter|Energy|0.03|4|2023-05-08
British Indian Ocean Territory (the)|Primary sawmill and wood products|125466.67|yard|Forestry|0.09|13|2023-05-19
British Indian Ocean Territory (the)|Other bioproducts (from forestry biomass)|1451000.0|gram|Forestry|0.08|4|2023-05-07
British Indian Ocean Territory (the)|Extraction|5279374800000.0|joule|Energy|0.04|3|2023-05-17
British Indian Ocean Territory (the)|Biofuels|84382.89|pint|Energy|0.11|2|2023-05-03
British Indian Ocean Territory (the)|Primary manufacturing|7657162084.29|british_thermal_unit|Energy|0.04|10|2023-05-16
British Indian Ocean Territory (the)|Tertiary metal products|314556000.0|pound|Minerals and mining|0.07|4|2023-05-06
British Indian Ocean Territory (the)|Services and custom work|474.54|day|Minerals and mining|0.04|2|2023-05-02
British Indian Ocean Territory (the)|Extraction|2420845|ton|Minerals and mining|0.07|9|2023-05-17
British Indian Ocean Territory (the)|Electricity|2374488|kilowatt_hour|Energy|0.09999999999999999|0|2023-05-11
British Indian Ocean Territory (the)|Extraction|80846|metric_ton|Forestry|0.03|0|2023-05-03
British Indian Ocean Territory (the)|Secondary paper products|301129.4|ton|Forestry|0.1|1|2023-05-03
British Indian Ocean Territory (the)|Secondary wood products|45.76|metric_ton|Forestry|0.1|0|2023-05-05
British Indian Ocean Territory (the)|Bioenergy|15247|kilowatt_hour|Energy|0.1|2|2023-05-03
Brunei Darussalam|Other bioproducts (from forestry biomass)|0.68|ton|Forestry|0.05|8|2023-05-27
Brunei Darussalam|Primary manufacturing|1625561107.66|british_thermal_unit|Minerals and mining|0.16|2|2023-05-08
Brunei Darussalam|Non-metallic minerals|206204000.0|kilogram|Minerals and mining|0.06|9|2023-05-25
Brunei Darussalam|Miscellaneous metal products|159.34|ton|Minerals and mining|0.08|0|2023-05-13
Brunei Darussalam|Bioenergy|45543600000.0|joule|Energy|0.21|1|2023-05-23
Brunei Darussalam|Natural gas|37221868.05|pint|Energy|0.19|1|2023-05-17
Brunei Darussalam|Primary sawmill and wood products|121716.7|meter|Forestry|0.06|3|2023-05-13
Brunei Darussalam|Coal|10627669.23|kilogram|Minerals and mining|0.19|8|2023-05-21
Bulgaria|Secondary paper products|276411000000.0|gram|Forestry|0.07|6|2023-05-29
Bulgaria|Services and custom work|133.79|day|Forestry|0.1|3|2023-05-13
