Country,Resource,Quantity,Unit,Sector,Urgency,Time to ship from Canada to Country (days),Date Resource is Required by (yyyy-mm-dd)
Virgin Islands (U.S.),Tertiary metal products,867887311.43,kilogram,Minerals and mining,0.06,3,2023-05-07
Rwanda,Tertiary metal products,787787434.81,kilogram,Minerals and mining,0.05,2,2023-05-13
Philippines (the),Tertiary metal products,777949923.49,kilogram,Minerals and mining,0.12,7,2023-05-20
Republic of North Macedonia,Tertiary metal products,672736451.72,kilogram,Minerals and mining,0.2,8,2023-05-27
Virgin Islands (British),Tertiary metal products,367912400.05,kilogram,Minerals and mining,0.16,3,2023-05-25
Turkey,Tertiary metal products,329797033.19,kilogram,Minerals and mining,0.11,2,2023-05-26
British Indian Ocean Territory (the),Tertiary metal products,314556000.0,pound,Minerals and mining,0.07,4,2023-05-06
Bhutan,Tertiary metal products,137791382.97,kilogram,Minerals and mining,0.17,1,2023-05-15
Turkmenistan,Tertiary metal products,1159648.0,ton,Minerals and mining,0.15,1,2023-05-04
Benin,Tertiary metal products,1025793.0,ton,Minerals and mining,0.08,2,2023-05-26
Montserrat,Tertiary metal products,1005158.0,ton,Minerals and mining,0.06,1,2023-05-02
Jersey,Tertiary metal products,941127.0,ton,Minerals and mining,0.12,4,2023-05-24
Saint Kitts and Nevis,Tertiary metal products,835048.13,metric_ton,Minerals and mining,0.46,5,2023-05-16
Tanzania United Republic of,Tertiary metal products,832922.0,ton,Minerals and mining,0.1100000000000001,0,2023-05-13
Ukraine,Tertiary metal products,832848.21,metric_ton,Minerals and mining,0.07,0,2023-05-09
Chad,Tertiary metal products,811024.97,metric_ton,Minerals and mining,0.01,1,2023-05-13
Sierra Leone,Tertiary metal products,810211.23,metric_ton,Minerals and mining,0.13,10,2023-05-21
Jamaica,Tertiary metal products,749623.0,ton,Minerals and mining,0.03,2,2023-05-28
Iceland,Tertiary metal products,713814.0,ton,Minerals and mining,0.08,1,2023-05-16
Christmas Island,Tertiary metal products,676194.0,ton,Minerals and mining,0.08,1,2023-05-26
Slovenia,Tertiary metal products,658931.0,ton,Minerals and mining,0.07,8,2023-05-17
Romania,Tertiary metal products,639446.4,metric_ton,Minerals and mining,0.1,0,2023-05-07
Switzerland,Tertiary metal products,638718.84,metric_ton,Minerals and mining,0.01,13,2023-05-16
Tunisia,Tertiary metal products,451176.54,metric_ton,Minerals and mining,0.04,10,2023-05-28
Korea (the Democratic People's Republic of),Tertiary metal products,448744.37,metric_ton,Minerals and mining,0.13,3,2023-05-06
Monaco,Tertiary metal products,352277.0,ton,Minerals and mining,0.17,3,2023-05-22
Isle of Man,Tertiary metal products,331170.0,ton,Minerals and mining,0.06,6,2023-05-24
Albania,Tertiary metal products,319667.41,metric_ton,Minerals and mining,0.01,4,2023-05-04
Falkland Islands (the) [Malvinas],Tertiary metal products,289457.0,ton,Minerals and mining,0.04,13,2023-05-22
United Kingdom of Great Britain and Northern Ireland (the),Tertiary metal products,274505.0,ton,Minerals and mining,0.07,5,2023-05-22
Faroe Islands (the),Tertiary metal products,178796.0,ton,Minerals and mining,0.03,4,2023-05-08
Colombia,Tertiary metal products,150830.0,ton,Minerals and mining,0.22,8,2023-05-24
Azerbaijan,Tertiary metal products,135531.0,ton,Minerals and mining,0.1,10,2023-05-18
Peru,Tertiary metal products,54742.25,metric_ton,Minerals and mining,0.1,1,2023-05-21
Egypt,Tertiary metal products,39936.99,metric_ton,Minerals and mining,0.09,13,2023-05-27
Mexico,Services and custom work,11789640.0,minute,Minerals and mining,0.08,0,2023-05-16
Japan,Services and custom work,11701800.0,minute,Minerals and mining,0.11,3,2023-05-28
Iceland,Services and custom work,10615020.0,minute,Minerals and mining,0.07,0,2023-05-10
Suriname,Services and custom work,10423740.0,minute,Minerals and mining,0.11,1,2023-05-13
Uzbekistan,Services and custom work,10308360.0,minute,Minerals and mining,0.16,12,2023-05-22
Russian Federation (the),Services and custom work,8405280.0,minute,Minerals and mining,0.09,4,2023-05-20
Hong Kong,Services and custom work,7582320.0,minute,Minerals and mining,0.44,13,2023-05-23
Papua New Guinea,Services and custom work,7550580.0,minute,Minerals and mining,0.14,0,2023-05-04
Senegal,Services and custom work,7191120.0,minute,Minerals and mining,0.05,13,2023-05-21
Bangladesh,Services and custom work,7111800.0,minute,Minerals and mining,0.1,3,2023-05-10
Thailand,Services and custom work,3446040.0,minute,Minerals and mining,0.14,0,2023-05-26
Niue,Services and custom work,3212640.0,minute,Forestry,0.1,4,2023-05-11
Morocco,Services and custom work,2952060.0,minute,Forestry,0.1,3,2023-05-15
Congo (the),Services and custom work,2918040.0,minute,Forestry,0.16,3,2023-05-11
Uruguay,Services and custom work,2745600.0,minute,Forestry,0.02,7,2023-05-26
China,Services and custom work,2423700.0,minute,Minerals and mining,0.09,5,2023-05-27
Chile,Services and custom work,2356080.0,minute,Forestry,0.07,4,2023-05-05
Vanuatu,Services and custom work,2337300.0,minute,Forestry,0.04,4,2023-05-12
Western Sahara,Services and custom work,2037300.0,minute,Minerals and mining,0.1,4,2023-05-07
Iceland,Services and custom work,1802640.0,minute,Forestry,0.04,1,2023-05-08
Bouvet Island,Services and custom work,1692060.0,minute,Forestry,0.02,4,2023-05-02
Gibraltar,Services and custom work,1565340.0,minute,Forestry,0.08,2,2023-05-13
Åland Islands,Services and custom work,1140420.0,minute,Minerals and mining,0.05,13,2023-05-19
Namibia,Services and custom work,901800.0,minute,Minerals and mining,0.04,5,2023-05-16
Moldova (the Republic of),Services and custom work,189250.0,hour,Minerals and mining,0.01,0,2023-05-11
Ecuador,Services and custom work,128875.0,hour,Minerals and mining,0.01,4,2023-05-09
Latvia,Services and custom work,111156.0,hour,Minerals and mining,0.11,11,2023-05-23
Micronesia (Federated States of),Services and custom work,45424.0,hour,Minerals and mining,0.01,0,2023-05-05
Tunisia,Services and custom work,39760.0,hour,Forestry,0.02,3,2023-05-04
Kenya,Services and custom work,38827.0,hour,Forestry,0.0999999999999999,11,2023-05-23
Viet Nam,Services and custom work,34266.0,hour,Forestry,0.08,0,2023-05-18
Congo (the Democratic Republic of the),Services and custom work,31807.0,hour,Forestry,0.0199999999999999,8,2023-05-27
Samoa,Services and custom work,31795.0,hour,Forestry,0.08,3,2023-05-23
Lesotho,Services and custom work,28327.0,hour,Minerals and mining,0.48,1,2023-05-14
Grenada,Services and custom work,28194.0,hour,Minerals and mining,0.33,7,2023-05-16
Norway,Services and custom work,27818.0,hour,Minerals and mining,0.0199999999999999,12,2023-05-29
Saint Pierre and Miquelon,Services and custom work,25712.0,hour,Forestry,0.11,8,2023-05-26
American Samoa,Services and custom work,18838.0,hour,Forestry,0.04,3,2023-05-24
Czechia,Services and custom work,15017.0,hour,Forestry,0.03,1,2023-05-14
Papua New Guinea,Services and custom work,13914.0,hour,Forestry,0.08,8,2023-05-25
Faroe Islands (the),Services and custom work,7262.42,day,Minerals and mining,0.09,1,2023-05-05
Kiribati,Services and custom work,6808.0,hour,Forestry,0.08,3,2023-05-13
Viet Nam,Services and custom work,6040.0,day,Minerals and mining,0.08,9,2023-05-27
Cambodia,Services and custom work,5843.0,hour,Forestry,0.07,2,2023-05-04
Switzerland,Services and custom work,5560.17,day,Minerals and mining,0.19,1,2023-05-06
Uruguay,Services and custom work,5031.5,day,Minerals and mining,0.02,0,2023-05-03
Albania,Services and custom work,4587.0,day,Minerals and mining,0.01,3,2023-05-14
Seychelles,Services and custom work,4517.75,day,Minerals and mining,0.16,0,2023-05-07
Nepal,Services and custom work,3092.5,day,Minerals and mining,0.01,10,2023-05-28
Bonaire Sint Eustatius and Saba,Services and custom work,2908.5,day,Minerals and mining,0.01,2,2023-05-18
France,Services and custom work,2653.0,hour,Minerals and mining,0.07,8,2023-05-21
Guyana,Services and custom work,2180.96,day,Forestry,0.12,4,2023-05-02
Yemen,Services and custom work,1714.54,day,Forestry,0.15,6,2023-05-27
Bermuda,Services and custom work,1643.71,day,Forestry,0.03,8,2023-05-19
Liechtenstein,Services and custom work,1495.88,day,Forestry,0.13,6,2023-05-17
Serbia,Services and custom work,1394.42,day,Forestry,0.12,2,2023-05-12
Moldova (the Republic of),Services and custom work,1377.54,day,Forestry,0.11,4,2023-05-05
Norfolk Island,Services and custom work,1185.18,week,Minerals and mining,0.1699999999999999,13,2023-05-26
Oman,Services and custom work,1162.05,week,Minerals and mining,0.08,4,2023-05-08
United States of America (the),Services and custom work,1096.64,week,Minerals and mining,0.09,3,2023-05-18
Saint Pierre and Miquelon,Services and custom work,1004.81,week,Minerals and mining,0.03,0,2023-05-28
Honduras,Services and custom work,986.88,day,Forestry,0.99,6,2023-05-19
Ukraine,Services and custom work,932.0,day,Forestry,0.06,2,2023-05-27
Réunion,Services and custom work,916.0,day,Forestry,0.06,4,2023-05-11
Poland,Services and custom work,906.72,week,Minerals and mining,0.06,2,2023-05-09
Taiwan (Province of China),Services and custom work,885.43,week,Minerals and mining,0.28,12,2023-05-26
Liechtenstein,Services and custom work,810.58,week,Minerals and mining,0.06,0,2023-05-03
Iraq,Services and custom work,622.88,day,Forestry,0.06,3,2023-05-07
New Zealand,Services and custom work,607.84,week,Minerals and mining,0.03,5,2023-05-16
Oman,Services and custom work,548.46,day,Forestry,0.13,0,2023-05-19
British Indian Ocean Territory (the),Services and custom work,474.54,day,Minerals and mining,0.04,2,2023-05-02
Cyprus,Services and custom work,450.57,week,Minerals and mining,0.1,12,2023-05-25
Belarus,Services and custom work,443.04,day,Forestry,0.07,1,2023-05-07
Turkmenistan,Services and custom work,442.72,week,Minerals and mining,0.29,2,2023-05-07
Benin,Services and custom work,309.4,week,Forestry,0.07,4,2023-05-10
Eritrea,Services and custom work,299.68,week,Forestry,0.22,4,2023-05-15
Luxembourg,Services and custom work,282.3,week,Forestry,0.11,2,2023-05-08
Singapore,Services and custom work,273.12,week,Forestry,0.12,5,2023-05-17
Kazakhstan,Services and custom work,271.93,week,Forestry,0.08,7,2023-05-22
Libya,Services and custom work,271.62,month,Minerals and mining,0.21,4,2023-05-06
Sri Lanka,Services and custom work,260.15,week,Forestry,0.03,1,2023-05-14
Faroe Islands (the),Services and custom work,258.89,week,Forestry,0.07,0,2023-05-26
Guinea-Bissau,Services and custom work,235.39,week,Forestry,0.01,1,2023-05-06
Sierra Leone,Services and custom work,224.64,week,Minerals and mining,0.07,3,2023-05-05
Andorra,Services and custom work,222.98,month,Minerals and mining,0.01,3,2023-05-14
Korea (the Republic of),Services and custom work,222.27,month,Minerals and mining,0.13,3,2023-05-25
Mozambique,Services and custom work,221.77,month,Minerals and mining,0.02,3,2023-05-10
Lebanon,Services and custom work,216.32,week,Forestry,0.02,3,2023-05-07
Comoros (the),Services and custom work,191.24,month,Minerals and mining,0.05,4,2023-05-04
Saint Helena Ascension and Tristan da Cunha,Services and custom work,180.82,week,Minerals and mining,0.09,0,2023-05-05
Azerbaijan,Services and custom work,166.19,month,Minerals and mining,0.06,7,2023-05-18
Dominican Republic (the),Services and custom work,161.29,month,Minerals and mining,0.2399999999999998,13,2023-05-17
Sudan (the),Services and custom work,147.97,month,Minerals and mining,0.01,3,2023-05-24
Congo (the Democratic Republic of the),Services and custom work,145.04,day,Minerals and mining,0.05,4,2023-05-04
Bulgaria,Services and custom work,133.79,day,Forestry,0.1,3,2023-05-13
Palau,Services and custom work,132.66,month,Minerals and mining,0.07,1,2023-05-04
Antigua and Barbuda,Services and custom work,120.24,week,Forestry,0.01,4,2023-05-12
Egypt,Services and custom work,103.46,week,Forestry,0.13,12,2023-05-28
Pitcairn,Services and custom work,90.48,month,Minerals and mining,0.06,0,2023-05-04
Korea (the Republic of),Services and custom work,86.71,week,Forestry,0.08,4,2023-05-15
Åland Islands,Services and custom work,82.89,week,Forestry,0.1,3,2023-05-16
Rwanda,Services and custom work,82.57,week,Forestry,0.1,4,2023-05-10
Tajikistan,Services and custom work,74.91,month,Forestry,0.12,11,2023-05-17
Virgin Islands (U.S.),Services and custom work,71.49,week,Minerals and mining,0.03,4,2023-05-18
Saudi Arabia,Services and custom work,62.54,month,Forestry,0.05,4,2023-05-13
Holy See (the),Services and custom work,59.08,month,Forestry,0.1,3,2023-05-02
Virgin Islands (U.S.),Services and custom work,58.47,month,Forestry,0.07,0,2023-05-02
Cyprus,Services and custom work,56.46,month,Forestry,0.03,0,2023-05-16
Eswatini,Services and custom work,43.0,week,Minerals and mining,0.04,2,2023-05-24
Curaçao,Services and custom work,35.91,month,Minerals and mining,0.16,4,2023-05-17
Hungary,Services and custom work,34.33,month,Forestry,0.02,12,2023-05-26
South Sudan,Services and custom work,31.75,month,Minerals and mining,0.1,10,2023-05-29
Sudan (the),Services and custom work,27.46,week,Forestry,0.0499999999999999,4,2023-05-02
Equatorial Guinea,Services and custom work,23.04,month,Forestry,0.12,3,2023-05-29
Philippines (the),Services and custom work,18.61,week,Forestry,0.11,4,2023-05-02
Nicaragua,Services and custom work,17.78,year,Minerals and mining,0.1,4,2023-05-15
Antigua and Barbuda,Services and custom work,17.54,year,Minerals and mining,0.15,2,2023-05-04
Barbados,Services and custom work,17.39,week,Forestry,0.15,8,2023-05-25
Zambia,Services and custom work,17.38,month,Forestry,0.17,2,2023-05-03
Iraq,Services and custom work,16.57,year,Minerals and mining,0.06,8,2023-05-24
Sweden,Services and custom work,16.21,year,Minerals and mining,0.13,12,2023-05-19
Armenia,Services and custom work,16.05,month,Minerals and mining,0.07,3,2023-05-05
Guyana,Services and custom work,16.01,year,Minerals and mining,0.02,2,2023-05-06
Belarus,Services and custom work,14.95,year,Minerals and mining,0.16,3,2023-05-29
Canada,Services and custom work,14.39,year,Minerals and mining,0.09,2,2023-05-04
Tajikistan,Services and custom work,13.62,year,Minerals and mining,0.12,3,2023-05-19
French Southern Territories (the),Services and custom work,9.95,year,Minerals and mining,0.07,4,2023-05-29
Aruba,Services and custom work,8.23,year,Minerals and mining,0.25,11,2023-05-29
Djibouti,Services and custom work,6.05,month,Forestry,0.33,2,2023-05-15
Fiji,Services and custom work,5.71,year,Forestry,0.03,0,2023-05-06
New Caledonia,Services and custom work,5.57,year,Minerals and mining,0.02,6,2023-05-23
Senegal,Services and custom work,5.46,year,Forestry,0.09,7,2023-05-20
China,Services and custom work,5.41,year,Forestry,0.04,11,2023-05-17
Italy,Services and custom work,5.3,year,Minerals and mining,0.07,8,2023-05-25
Norway,Services and custom work,5.29,year,Forestry,0.09,3,2023-05-26
Jersey,Services and custom work,5.23,year,Forestry,0.07,1,2023-05-16
Slovenia,Services and custom work,4.62,year,Forestry,0.08,11,2023-05-23
United States of America (the),Services and custom work,3.74,year,Forestry,0.1,0,2023-05-02
Iran (Islamic Republic of),Services and custom work,3.53,year,Forestry,0.13,1,2023-05-15
Puerto Rico,Services and custom work,2.18,year,Forestry,0.11,0,2023-05-09
Thailand,Services and custom work,2.14,year,Forestry,0.19,6,2023-05-19
United Kingdom of Great Britain and Northern Ireland (the),Services and custom work,2.03,year,Forestry,0.09,0,2023-05-09
Liberia,Services and custom work,1.98,year,Forestry,0.06,12,2023-05-16
Mauritania,Services and custom work,0.9,year,Forestry,0.12,0,2023-05-27
Madagascar,Services and custom work,0.52,year,Forestry,0.19,10,2023-05-25
Romania,Services and custom work,0.13,year,Forestry,0.07,10,2023-05-23
Martinique,Services,157886040.0,minute,Energy,0.11,5,2023-05-16
Papua New Guinea,Services,141892320.0,minute,Energy,0.13,8,2023-05-26
Curaçao,Services,138323760.0,minute,Energy,0.08,1,2023-05-13
Northern Mariana Islands (the),Services,106761180.0,minute,Energy,0.1,2,2023-05-06
Bahrain,Services,90184680.0,minute,Energy,1.0,7,2023-05-23
Samoa,Services,76671600.0,minute,Energy,0.01,2,2023-05-06
Mali,Services,67536300.0,minute,Energy,0.01,10,2023-05-21
Mongolia,Services,37665420.0,minute,Energy,0.09,3,2023-05-14
Western Sahara,Services,33285720.0,minute,Energy,0.19,3,2023-05-03
Samoa,Services,31110840.0,minute,Minerals and mining,0.02,3,2023-05-20
Azerbaijan,Services,29329800.0,minute,Minerals and mining,0.11,2,2023-05-13
Guinea-Bissau,Services,24209700.0,minute,Minerals and mining,0.02,11,2023-05-27
Gambia (the),Services,23501880.0,minute,Minerals and mining,0.0899999999999997,7,2023-05-25
Kyrgyzstan,Services,21471180.0,minute,Minerals and mining,0.06,1,2023-05-19
Cameroon,Services,21069120.0,minute,Energy,0.74,9,2023-05-28
Benin,Services,20108040.0,minute,Minerals and mining,0.08,10,2023-05-21
Eswatini,Services,18793740.0,minute,Minerals and mining,0.09,5,2023-05-26
Kenya,Services,18709320.0,minute,Forestry,0.02,4,2023-05-12
China,Services,18205380.0,minute,Forestry,0.01,8,2023-05-17
Jamaica,Services,17824380.0,minute,Minerals and mining,0.15,10,2023-05-16
Norfolk Island,Services,17770680.0,minute,Energy,0.11,1,2023-05-02
Turks and Caicos Islands (the),Services,16646520.0,minute,Minerals and mining,0.07,3,2023-05-10
Dominica,Services,14017440.0,minute,Forestry,0.06,4,2023-05-21
Rwanda,Services,10506720.0,minute,Forestry,0.04,5,2023-05-26
Réunion,Services,9753360.0,minute,Forestry,0.09,0,2023-05-08
San Marino,Services,9717780.0,minute,Minerals and mining,0.45,13,2023-05-18
Senegal,Services,9384000.0,minute,Minerals and mining,0.0099999999999998,3,2023-05-03
Israel,Services,8937660.0,minute,Forestry,0.29,1,2023-05-07
Maldives,Services,8240400.0,minute,Forestry,0.01,3,2023-05-06
Fiji,Services,7496880.0,minute,Forestry,0.07,5,2023-05-19
Korea (the Republic of),Services,4631640.0,minute,Energy,0.06,4,2023-05-07
Virgin Islands (U.S.),Services,3294900.0,minute,Minerals and mining,0.02,1,2023-05-05
Serbia,Services,2605991.0,hour,Energy,0.06,6,2023-05-21
United Kingdom of Great Britain and Northern Ireland (the),Services,2491480.0,hour,Energy,0.09,0,2023-05-09
Lao People's Democratic Republic (the),Services,2447142.0,hour,Energy,0.0499999999999999,2,2023-05-25
Gabon,Services,2304409.0,hour,Energy,0.07,10,2023-05-26
Cocos (Keeling) Islands (the),Services,2241195.0,hour,Energy,0.28,2,2023-05-06
Burundi,Services,2123856.0,hour,Energy,0.1699999999999999,2,2023-05-10
Nigeria,Services,2090760.0,minute,Forestry,0.14,3,2023-05-03
Rwanda,Services,1909772.0,hour,Energy,0.07,3,2023-05-02
Heard Island and McDonald Islands,Services,1137925.0,hour,Energy,0.08,12,2023-05-29
Timor-Leste,Services,1090847.0,hour,Energy,0.38,6,2023-05-23
Sao Tome and Principe,Services,1020986.0,hour,Energy,0.08,13,2023-05-28
Qatar,Services,961484.0,hour,Energy,0.22,4,2023-05-11
Albania,Services,518196.0,hour,Minerals and mining,0.05,4,2023-05-06
Puerto Rico,Services,463130.0,hour,Minerals and mining,0.03,3,2023-05-05
Tanzania United Republic of,Services,447166.0,hour,Minerals and mining,0.03,12,2023-05-23
Mauritius,Services,412358.0,hour,Minerals and mining,0.08,1,2023-05-05
United Kingdom of Great Britain and Northern Ireland (the),Services,407988.0,hour,Minerals and mining,0.01,0,2023-05-24
Costa Rica,Services,375242.0,hour,Minerals and mining,0.24,13,2023-05-25
Vanuatu,Services,374673.0,hour,Energy,0.06,12,2023-05-23
Uruguay,Services,362161.0,hour,Forestry,0.08,11,2023-05-28
Luxembourg,Services,333504.0,hour,Minerals and mining,0.16,4,2023-05-26
Poland,Services,313841.0,hour,Forestry,0.01,10,2023-05-22
Georgia,Services,257581.0,hour,Forestry,0.06,0,2023-05-16
Seychelles,Services,245141.0,hour,Minerals and mining,0.06,4,2023-05-10
Iceland,Services,227497.0,hour,Forestry,0.1,0,2023-05-23
Christmas Island,Services,218990.0,hour,Energy,0.09,7,2023-05-29
Jersey,Services,183380.0,hour,Forestry,0.2,0,2023-05-13
Lebanon,Services,182911.0,hour,Forestry,0.1,13,2023-05-27
Hungary,Services,177192.0,hour,Forestry,0.02,2,2023-05-27
American Samoa,Services,169753.0,hour,Forestry,0.12,0,2023-05-21
Turks and Caicos Islands (the),Services,158181.0,hour,Forestry,0.05,3,2023-05-24
Pakistan,Services,140972.0,hour,Energy,0.21,11,2023-05-19
Sint Maarten (Dutch part),Services,139462.0,hour,Minerals and mining,0.07,9,2023-05-18
Panama,Services,136699.0,hour,Minerals and mining,0.08,13,2023-05-17
China,Services,131761.0,hour,Minerals and mining,0.1,1,2023-05-21
Sudan (the),Services,129519.0,hour,Minerals and mining,0.1,0,2023-05-09
Iceland,Services,115113.0,hour,Minerals and mining,0.07,0,2023-05-02
Gibraltar,Services,94295.67,day,Energy,0.01,10,2023-05-25
French Southern Territories (the),Services,93936.33,day,Energy,0.01,4,2023-05-05
Uruguay,Services,89674.79,day,Energy,0.05,3,2023-05-11
Congo (the Democratic Republic of the),Services,73320.92,day,Energy,0.09,11,2023-05-24
Saint Helena Ascension and Tristan da Cunha,Services,72053.54,day,Energy,0.03,5,2023-05-18
Albania,Services,71850.29,day,Energy,0.03,4,2023-05-04
Ecuador,Services,69506.0,hour,Forestry,0.03,5,2023-05-19
Slovenia,Services,68790.96,day,Energy,0.09,0,2023-05-05
Maldives,Services,66560.83,day,Energy,0.09,2,2023-05-06
Cuba,Services,64855.62,day,Energy,0.04,2,2023-05-11
Bermuda,Services,56929.71,day,Energy,0.1,2,2023-05-26
Libya,Services,56495.17,day,Energy,0.38,1,2023-05-09
Cabo Verde,Services,51097.79,day,Energy,0.11,5,2023-05-25
Guinea-Bissau,Services,43304.62,day,Energy,0.11,13,2023-05-28
Virgin Islands (U.S.),Services,40870.71,day,Energy,0.01,2,2023-05-17
Saint Pierre and Miquelon,Services,36973.08,day,Energy,0.03,4,2023-05-10
Yemen,Services,31999.0,hour,Forestry,0.12,0,2023-05-12
China,Services,31097.38,day,Energy,0.1,4,2023-05-11
Åland Islands,Services,25014.0,hour,Energy,0.1,3,2023-05-02
Norway,Services,24603.0,hour,Minerals and mining,0.05,2,2023-05-28
Nigeria,Services,20570.12,day,Minerals and mining,0.1,1,2023-05-26
Belize,Services,18567.79,day,Energy,0.13,6,2023-05-28
Chile,Services,18427.25,day,Minerals and mining,0.13,2,2023-05-04
Ecuador,Services,17972.71,day,Minerals and mining,0.05,3,2023-05-13
Morocco,Services,14670.04,day,Forestry,0.02,7,2023-05-17
Eritrea,Services,14405.0,hour,Minerals and mining,0.31,11,2023-05-18
Finland,Services,14248.94,week,Energy,0.07,4,2023-05-03
Cyprus,Services,13587.39,week,Energy,0.02,1,2023-05-13
Algeria,Services,13542.75,day,Forestry,0.64,8,2023-05-29
Ukraine,Services,13470.13,week,Energy,0.06,3,2023-05-06
Liberia,Services,13345.38,day,Energy,0.05,8,2023-05-27
South Sudan,Services,12931.54,day,Minerals and mining,0.1,10,2023-05-26
Japan,Services,12717.21,day,Forestry,0.12,11,2023-05-22
Kiribati,Services,12458.21,day,Minerals and mining,0.03,4,2023-05-20
Sudan (the),Services,12111.07,week,Energy,0.09,11,2023-05-26
Philippines (the),Services,12042.67,day,Forestry,0.05,4,2023-05-14
Aruba,Services,11262.08,day,Energy,0.1999999999999999,6,2023-05-21
Ethiopia,Services,11161.71,day,Forestry,0.16,11,2023-05-22
Bulgaria,Services,10176.54,day,Minerals and mining,0.02,1,2023-05-25
French Guiana,Services,10096.12,day,Forestry,0.09,0,2023-05-06
Sudan (the),Services,9617.04,day,Forestry,0.08,0,2023-05-14
Gabon,Services,8638.5,day,Forestry,0.0500000000000001,11,2023-05-27
Yemen,Services,8588.85,week,Energy,0.1,1,2023-05-21
United States Minor Outlying Islands (the),Services,8186.02,week,Energy,0.1,11,2023-05-25
Ethiopia,Services,7825.12,day,Energy,0.26,4,2023-05-21
Guam,Services,7512.42,week,Energy,0.01,3,2023-05-03
Puerto Rico,Services,7463.04,day,Forestry,0.01,13,2023-05-25
Angola,Services,6559.96,week,Energy,0.01,3,2023-05-03
Mozambique,Services,6170.0,hour,Minerals and mining,0.11,3,2023-05-26
United States of America (the),Services,5564.9,week,Energy,0.06,4,2023-05-09
Bonaire Sint Eustatius and Saba,Services,5270.88,day,Forestry,0.08,9,2023-05-19
El Salvador,Services,4678.04,day,Minerals and mining,0.87,2,2023-05-26
Taiwan (Province of China),Services,4564.83,day,Minerals and mining,0.07,5,2023-05-19
Papua New Guinea,Services,4292.79,day,Minerals and mining,0.12,0,2023-05-22
Cyprus,Services,4105.67,day,Minerals and mining,0.01,4,2023-05-04
Tanzania United Republic of,Services,3599.02,month,Energy,0.1,2,2023-05-15
Kenya,Services,3419.04,month,Energy,0.1,5,2023-05-26
Djibouti,Services,3378.65,month,Energy,0.08,0,2023-05-05
Saint Kitts and Nevis,Services,3204.33,month,Energy,0.18,0,2023-05-13
Seychelles,Services,3154.05,month,Energy,0.13,8,2023-05-20
Bolivia (Plurinational State of),Services,3093.85,week,Minerals and mining,0.01,0,2023-05-02
Switzerland,Services,2899.89,month,Energy,0.18,4,2023-05-29
Iran (Islamic Republic of),Services,2893.05,month,Energy,0.12,0,2023-05-28
